trip_id,fare_amount,trip_duration,trip_distance,pickup_hour,day_of_week,weather_condition,payment_type,customer_rating,cancellation_probability
trip_284,65.14,56,13.35,23,1,Snowy,Wallet,1.43,0.56
trip_285,36.75,52,7.99,10,2,Snowy,Cash,3.69,0
trip_286,78.46,111,21.69,11,0,Clear,Wallet,3.47,0.48
trip_287,48.28,71,9.59,5,4,Rainy,Cash,1.6,0.55
trip_288,80.71,101,4.12,4,5,Clear,Cash,1.03,0.85
trip_289,17.35,102,19.22,14,6,Rainy,Cash,3.2,0.51
trip_290,42.28,115,49.98,11,2,Rainy,Card,2.04,1
trip_291,52.56,38,47.33,14,2,Rainy,Wallet,1.75,0.74
trip_292,93.54,111,45.41,21,6,Clear,Wallet,2.9,1
trip_293,44.61,98,19.14,12,2,Snowy,Wallet,1.12,1
trip_294,59.67,120,39.52,15,2,Clear,Card,3.77,0.74
trip_295,29.41,46,47.52,4,4,Clear,Card,4.93,0
trip_296,44.22,14,21.48,23,0,Rainy,Cash,2.76,0
trip_297,5.03,40,24.08,20,5,Snowy,Wallet,1.36,0.56
trip_298,76.17,84,3.54,20,3,Snowy,Wallet,3.23,0.16
trip_299,18.63,86,29.24,16,3,Clear,Wallet,4.03,0.15
trip_300,12.7,14,25.16,19,2,Clear,Card,3.61,0
trip_301,63.8,55,47.03,17,6,Clear,Wallet,2.34,0.64
trip_302,50.23,71,6.77,2,2,Snowy,Cash,3.68,0
trip_303,25.67,33,6,3,4,Rainy,Wallet,2.97,0
trip_304,29.92,108,10.69,23,3,Rainy,Card,1.62,0.92
trip_305,73.13,56,27.68,13,2,Snowy,Cash,4.86,0
trip_306,87.1,62,32.45,9,4,Clear,Wallet,2.91,0.33
trip_307,53.78,95,23.78,23,1,Snowy,Cash,3.15,0.59
trip_308,96.13,13,49.61,5,5,Snowy,Wallet,1.41,0.7
trip_309,43.75,80,34.27,0,3,Snowy,Card,3.33,0.54
trip_310,74.63,40,46.02,11,2,Rainy,Wallet,3.93,0.1
trip_311,84.76,95,15.69,5,3,Rainy,Card,1.81,0.83
trip_312,62.87,71,32.4,8,0,Rainy,Wallet,4.92,0
trip_313,30.82,64,10.51,5,2,Rainy,Cash,2.2,0.3
trip_314,32.73,45,16.1,14,4,Snowy,Card,1.72,0.39
trip_315,30.5,92,10.96,22,2,Rainy,Cash,3.01,0.35
trip_316,31.94,29,33.84,10,3,Rainy,Cash,4.86,0
trip_317,18.45,76,34.19,0,0,Snowy,Wallet,2.16,0.83
trip_318,59.06,35,48.16,14,0,Snowy,Cash,1.97,0.71
trip_319,21.49,102,34.31,22,2,Snowy,Card,1.49,1
trip_320,33.06,20,13.56,15,5,Clear,Cash,2.85,0
trip_321,48.6,40,41.34,0,3,Rainy,Card,3,0.29
trip_322,77.14,93,11.02,1,1,Rainy,Card,1.21,0.92
trip_323,70.46,37,3.49,22,5,Snowy,Cash,4.8,0
trip_324,13.96,74,24.42,9,2,Clear,Wallet,4.02,0
trip_325,10.44,106,48.87,21,2,Snowy,Wallet,2.39,1
trip_326,43.35,101,2.24,18,5,Clear,Wallet,1.38,0.7
trip_327,91.42,109,2.4,20,1,Clear,Wallet,4.38,0
trip_328,72.7,112,33.3,2,3,Rainy,Cash,1.39,1
trip_329,98.08,6,27.78,2,3,Rainy,Cash,4.58,0
trip_330,58.08,65,36.12,3,1,Rainy,Wallet,3,0.47
trip_331,83.22,25,39.5,22,2,Rainy,Wallet,2.94,0.15
trip_332,77.27,35,38.42,17,4,Clear,Wallet,1.33,0.62
trip_333,74.32,53,31.55,13,1,Rainy,Wallet,1.83,0.64
trip_334,60.25,113,12.26,2,2,Clear,Cash,1.8,0.85
trip_335,94.15,49,14.28,5,2,Snowy,Wallet,4.05,0
trip_336,95.8,29,13.48,15,2,Clear,Cash,2.56,0
trip_337,32.58,82,20.02,19,1,Clear,Card,3.37,0.18
trip_338,47.43,19,6.89,6,0,Rainy,Wallet,1.05,0.15
trip_339,40.85,19,30.59,19,6,Clear,Wallet,1.41,0.3
trip_340,68.06,60,19.17,6,4,Snowy,Cash,4.33,0
trip_341,44.06,70,34.97,11,1,Clear,Cash,1.88,0.73
trip_342,79.96,59,13.75,7,4,Snowy,Cash,4.39,0
trip_343,65.93,50,18.43,6,1,Rainy,Cash,1.41,0.54
trip_344,61.43,40,2.98,23,4,Snowy,Card,2.4,0
trip_345,15.86,54,14.17,7,2,Snowy,Card,2.09,0.33
trip_346,37.34,63,43.03,23,4,Clear,Card,1.83,0.8
trip_347,57.13,63,45.61,5,3,Snowy,Card,1.32,1
trip_348,92.24,75,18.13,6,2,Rainy,Cash,1.04,0.91
trip_349,86.08,101,25,2,0,Rainy,Card,1.84,1
trip_350,9.38,34,3.37,23,4,Clear,Cash,2.29,0
trip_351,65.78,53,5.2,17,3,Clear,Cash,4.81,0
trip_352,18.86,61,49.44,2,4,Rainy,Card,3.7,0.4
trip_353,50.25,10,46.3,16,5,Rainy,Cash,4.38,0
trip_354,29.68,61,29.81,21,2,Clear,Wallet,2.03,0.51
trip_355,50.54,35,45.93,8,0,Clear,Card,2.81,0.27
trip_356,99.8,34,32,13,3,Rainy,Cash,1.73,0.5
trip_357,62.58,50,45.17,2,0,Snowy,Card,1.7,0.9
trip_358,34.84,43,23.74,4,3,Clear,Cash,3.98,0
trip_359,61.09,87,16.98,5,6,Snowy,Wallet,4.31,0.06
trip_360,30.86,32,17.07,6,3,Snowy,Wallet,4.14,0
trip_361,40.37,17,28.84,12,3,Clear,Cash,2.18,0.02
trip_362,65.29,19,28.19,22,2,Snowy,Card,3.11,0
trip_363,77.21,35,49.34,10,5,Snowy,Cash,1.28,0.94
trip_364,10.68,75,16.24,5,4,Rainy,Card,3.46,0.11
trip_365,74.79,111,5.38,22,4,Clear,Card,4.23,0.01
trip_366,95.99,35,20.46,15,5,Rainy,Wallet,4.34,0
trip_367,7.76,80,46.95,3,6,Rainy,Cash,1.32,1
trip_368,43.32,112,5.28,20,4,Clear,Card,3.81,0.13
trip_369,86.84,96,28.13,17,2,Snowy,Wallet,1.07,1
trip_370,84.02,99,35.22,6,0,Snowy,Cash,3.51,0.71
trip_371,67.17,14,39.03,11,4,Rainy,Cash,1.92,0.33
trip_372,78.63,33,49.78,4,6,Clear,Wallet,4.6,0
trip_373,40.48,99,20.58,18,2,Rainy,Card,3.62,0.38
trip_374,90.94,84,42,18,1,Rainy,Card,1.6,1
trip_375,41.69,93,30.35,22,0,Clear,Wallet,1.77,0.93
trip_376,51.72,86,35.05,6,2,Clear,Wallet,3.64,0.37
trip_377,48.98,83,38.34,16,6,Clear,Cash,4.81,0.04
trip_378,96.98,32,7.71,12,5,Snowy,Card,2.22,0.02
trip_379,79.12,45,21,22,0,Rainy,Card,3.41,0
trip_380,17.14,81,40.01,7,4,Clear,Card,2.78,0.63
trip_381,96.68,108,16.59,13,4,Rainy,Card,3.29,0.54
trip_382,76.52,84,14.26,7,4,Clear,Cash,3.11,0.21
trip_383,34,36,34.98,12,6,Snowy,Wallet,3.37,0.09
trip_384,17.47,5,46.29,11,3,Clear,Card,3.61,0
trip_385,89.29,82,45.58,15,6,Rainy,Wallet,2.84,0.85
trip_386,84.99,51,5.41,1,5,Rainy,Card,2.01,0.18
trip_387,74.4,37,47.88,12,6,Rainy,Wallet,4.66,0
trip_388,64.93,118,44.43,3,4,Snowy,Cash,1.73,1
trip_389,77.98,64,48.77,11,6,Clear,Card,3.79,0.32
trip_390,29.67,56,3.79,3,6,Clear,Wallet,3.34,0
trip_391,18.29,41,15.18,8,2,Snowy,Cash,2.15,0.2
trip_392,24.69,84,39.05,16,5,Snowy,Cash,4.67,0.24
trip_393,76.01,109,13.75,10,4,Rainy,Card,3.7,0.37
trip_394,76.76,57,5.41,11,6,Rainy,Wallet,2.78,0
trip_395,63.48,39,37.92,10,5,Snowy,Wallet,3.15,0.25
trip_396,50.92,50,13.95,1,4,Clear,Card,4.79,0
trip_397,23.55,102,9.87,10,5,Rainy,Cash,1.04,1
